SalePrice,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF
159500,60,7950,6,6,1977,1977,140,535,155,690,698,728,1426,0,1,1,3,6,0,1977,2,440,252,0
184000,20,12416,6,5,1986,1986,132,1398,0,1606,1651,0,1651,1,2,0,3,7,1,1986,2,616,192,0
96500,45,10594,5,5,1926,1950,0,0,768,768,789,0,789,0,1,0,2,5,0,1926,1,200,0,0
200000,90,11643,5,5,1969,1969,368,500,748,1248,1338,1296,2634,1,2,2,6,12,0,1969,4,968,0,0
149000,50,6240,5,6,1928,1950,0,0,1042,1042,1042,534,1576,0,1,0,3,8,1,1928,1,225,0,0
178900,60,10237,6,5,2005,2007,0,0,783,783,783,701,1484,0,2,1,3,8,1,2005,2,393,0,72
184900,20,10083,7,5,2003,2003,0,833,343,1176,1200,0,1200,1,2,0,2,5,0,2003,2,555,0,41
164700,160,4251,7,5,2006,2007,0,0,625,625,625,625,1250,0,2,1,2,5,0,2006,2,528,0,54
335000,20,17500,7,8,1959,2002,0,1406,496,1902,1902,0,1902,1,2,0,3,7,2,1959,2,567,0,207
87500,90,8544,3,4,1949,1950,340,0,0,0,1040,0,1040,0,2,0,2,6,0,1949,2,400,0,0
233170,20,9541,7,5,2009,2009,268,0,1502,1502,1502,0,1502,0,2,0,3,7,0,2009,2,644,0,114
149350,20,8544,5,6,1966,2006,0,0,1228,1228,1228,0,1228,0,1,1,3,6,0,1966,1,271,0,65
133000,40,12144,5,7,1949,1950,0,375,457,832,1036,0,1268,0,1,0,3,6,1,1949,1,288,0,28
98000,30,5604,5,6,1925,1950,0,468,396,864,864,0,864,1,1,0,2,5,0,1980,0,0,0,0
207500,20,10240,6,6,1980,1980,157,625,0,1686,1686,0,1686,1,2,0,3,7,1,1980,2,612,384,131
150000,20,9991,4,4,1976,1993,0,1116,165,1281,1620,0,1620,1,2,0,3,8,1,1993,2,490,120,78
134900,85,7252,5,5,1982,1982,0,685,173,858,858,0,858,1,1,0,2,5,0,1983,2,576,120,0
187750,20,7200,7,5,2006,2006,0,0,1293,1293,1301,0,1301,1,2,0,2,5,1,2006,2,572,216,121
149500,20,12160,6,4,1953,1953,90,1024,481,1505,1505,0,1505,1,1,0,2,6,1,1953,2,505,0,0
116050,20,9353,4,5,1970,1970,0,0,864,864,864,0,864,0,1,0,3,5,0,1972,1,280,0,0
153337,90,7018,5,5,1979,1979,275,1086,0,1086,1224,0,1224,2,0,2,2,6,2,1979,2,528,120,0
165000,20,13284,5,5,1954,1954,0,1064,319,1383,1383,0,1383,1,1,0,3,6,1,1954,1,354,511,116
130500,20,6600,5,9,1982,2008,0,641,175,816,816,0,816,0,1,0,3,5,1,1982,1,264,0,0
206300,90,7060,7,5,1997,1998,200,1309,35,1344,1344,0,1344,2,2,0,2,8,0,1997,4,784,0,0
146000,160,3604,7,5,2007,2007,0,0,689,689,703,689,1392,0,2,0,2,5,0,2007,2,540,0,102
126500,20,8892,5,5,1960,1960,66,0,1065,1065,1065,0,1065,0,1,1,3,6,0,1974,2,461,74,0
139000,50,5362,5,6,1910,2003,0,0,661,661,661,589,1250,0,2,0,3,8,1,1985,2,552,242,0
113000,190,4456,4,5,1920,2008,0,0,736,736,736,716,1452,0,2,0,2,8,0,1980,0,0,0,0
79000,50,9600,6,5,1924,1950,0,0,572,572,572,524,1096,0,1,0,2,5,0,1980,0,0,0,8
182000,20,11639,7,5,2007,2008,0,0,1428,1428,1428,0,1428,0,2,0,3,6,0,2007,2,480,0,120
188000,60,8000,6,5,1995,1996,0,219,554,773,773,885,1658,1,2,1,3,8,1,1995,2,431,224,84
129000,20,7200,5,8,1950,2002,0,398,317,864,864,0,864,1,1,0,3,5,0,1980,2,720,194,0
160000,190,7082,5,8,1916,1995,0,0,686,686,948,980,1928,0,2,0,5,10,0,1980,0,0,0,0
174000,20,8400,6,9,1962,2005,237,0,1319,1319,1537,0,1537,1,1,1,3,7,1,1962,2,462,0,36
219210,60,14054,7,5,2006,2006,0,0,879,879,879,984,1863,0,2,1,4,9,1,2006,3,660,100,17
310000,60,11003,10,5,2008,2008,160,765,252,1017,1026,981,2007,1,2,1,3,10,1,2008,3,812,168,52
374000,20,11846,9,5,2003,2004,562,1567,225,1792,1792,0,1792,1,2,0,2,6,1,2003,3,874,206,49
100000,30,8520,5,6,1923,2006,0,0,968,968,968,0,968,0,1,0,2,5,0,1935,2,480,0,0
250000,60,11029,6,7,1968,1984,220,619,435,1054,1512,1142,2654,1,2,1,4,9,1,1968,2,619,0,65
145000,80,10246,4,9,1965,2001,0,648,0,648,960,0,960,1,0,0,0,3,0,1965,1,364,88,0
325000,75,13500,10,9,1893,2000,0,0,1237,1237,1521,1254,2775,0,3,1,3,9,1,1988,2,880,105,502
380000,60,13693,9,5,2006,2006,772,0,2153,2153,2069,574,2643,0,2,1,3,9,1,2006,3,694,414,84
275000,120,3842,8,5,2004,2005,174,1373,221,1594,1646,0,1646,1,2,0,2,5,1,2004,2,482,128,53
180000,20,11200,6,5,1985,1985,85,1258,40,1298,1298,0,1298,1,2,0,3,5,1,1985,2,403,165,26
245350,20,10475,8,5,2008,2008,72,0,1694,1694,1694,0,1694,0,2,0,3,7,0,2008,3,776,160,33
151500,20,12772,6,8,1960,1998,0,498,460,958,958,0,958,0,1,0,2,5,0,1960,1,301,0,0
134500,85,10205,5,5,1962,1962,0,784,141,925,999,0,999,1,1,0,3,6,0,1962,1,300,150,72
94000,50,6342,5,8,1875,1996,0,0,780,780,780,240,1020,0,1,0,2,6,0,1980,0,0,0,0
216000,60,7500,7,5,2000,2000,0,533,281,814,814,860,1674,1,2,1,3,7,0,2000,2,663,0,96
350000,20,10437,8,6,1995,1995,660,1696,413,2109,2113,0,2113,1,2,1,2,7,1,1995,3,839,236,46
195000,60,12046,6,6,1976,1976,298,156,692,848,1118,912,2030,0,2,1,4,8,1,1976,2,551,0,224
120000,160,10762,6,6,1980,1980,0,0,626,626,626,591,1217,0,1,1,3,6,1,1980,1,288,0,28
228500,60,9375,8,5,2002,2002,149,0,1284,1284,1284,885,2169,0,2,1,3,7,1,2002,2,647,192,87
248000,60,29959,7,6,1994,1994,0,595,378,973,979,871,1850,0,2,1,3,7,1,1994,2,467,168,98
124000,20,9204,5,5,1963,1963,0,25,247,1144,1144,0,1144,1,1,1,3,6,0,1962,1,336,0,88
191000,120,3182,7,5,2005,2006,14,16,1330,1346,1504,0,1504,0,2,0,2,7,1,2005,2,437,156,20
181000,20,10140,6,6,1974,1999,99,663,0,1040,1309,0,1309,1,1,1,3,5,1,1974,2,484,265,0
105000,50,9060,6,5,1939,1950,0,204,356,560,698,560,1258,0,1,0,2,6,0,1939,1,280,0,0
139900,20,12342,5,5,1960,1978,0,0,978,978,1422,0,1422,0,1,0,3,6,1,1960,1,286,0,0
157900,20,9750,6,6,1958,1958,243,608,834,1442,1442,0,1442,0,1,1,4,7,0,1958,1,301,0,0
130500,50,11767,5,6,1946,1995,0,352,416,768,768,432,1200,0,1,0,3,6,0,1946,1,240,0,0
172400,60,8121,6,5,2000,2000,0,0,953,953,953,711,1664,0,2,1,3,7,1,2000,2,460,100,40
130000,80,7134,5,5,1955,1955,0,384,0,384,1360,0,1360,0,1,0,3,6,1,1962,2,572,0,50
178000,60,9056,8,5,2004,2004,0,0,707,707,707,707,1414,0,2,1,3,6,1,2004,2,403,100,35
161500,20,9790,6,5,1967,1967,0,251,491,1372,1342,0,1342,0,2,0,3,7,1,1967,2,457,0,0
119900,190,7800,5,7,1939,1950,0,507,286,793,793,325,1118,1,1,0,3,5,1,1939,2,410,0,0
239000,70,16560,6,8,1932,1950,0,503,449,952,1170,1175,2345,0,2,1,4,9,1,1932,2,360,0,0
190000,20,11751,6,6,1977,1977,480,705,1139,1844,1844,0,1844,0,2,0,3,7,1,1977,2,546,0,122
85400,160,1680,6,5,1971,1971,232,387,96,483,483,504,987,0,1,1,2,4,0,1971,1,264,0,0
205000,20,10603,6,7,1977,2001,28,1200,410,1610,1610,0,1610,1,2,0,3,6,2,1977,2,480,168,68
134000,20,9187,6,5,1983,1983,0,336,748,1084,1080,0,1080,0,1,1,3,5,0,1983,2,484,120,0
168000,190,32463,4,4,1961,1975,149,1159,90,1249,1622,0,1622,1,1,0,3,7,1,1975,4,1356,439,0
185000,60,11207,6,5,1997,1997,0,714,88,802,802,709,1511,1,2,1,3,8,1,1997,2,413,95,75
180500,80,14112,5,7,1964,1964,86,1014,138,1152,1152,0,1152,1,1,0,3,6,1,1964,2,484,227,0
152000,50,13710,5,5,1950,1950,0,420,490,910,910,648,1558,0,1,1,4,6,0,1950,1,282,289,0
215000,60,9554,8,5,1993,1994,125,380,397,777,1065,846,1911,0,2,1,3,8,1,1993,2,471,182,81
153000,20,8712,5,7,1957,2000,0,860,132,992,1306,0,1306,1,1,0,2,5,0,1968,1,756,0,0
106000,75,8100,5,5,1898,1965,0,0,849,849,1075,1063,2138,0,2,0,2,11,0,1910,2,360,40,156
340000,60,11143,8,5,2004,2005,0,0,1580,1580,1580,886,2466,0,3,0,4,8,1,2004,2,610,159,214
159000,50,9786,6,7,1962,1981,0,600,312,912,1085,649,1734,0,1,1,3,7,1,1962,2,440,0,0
120000,50,6000,6,7,1929,1950,0,0,862,862,950,208,1158,0,1,0,3,5,1,1929,1,208,0,0
115000,20,21750,5,4,1960,2006,75,0,0,0,1771,0,1771,0,1,0,3,9,1,1960,2,336,0,0
128000,120,4928,6,5,1976,1976,0,120,958,1078,958,0,958,0,2,0,2,5,1,1977,2,440,0,205
314813,20,11694,9,5,2007,2007,452,48,1774,1822,1828,0,1828,0,2,0,3,9,1,2007,3,774,0,108
131000,50,11409,5,4,1949,2008,0,292,476,768,1148,568,1716,0,1,1,3,8,1,1949,1,281,0,0
446261,60,14948,9,5,2008,2008,268,1330,122,1452,1476,1237,2713,1,2,1,3,11,1,2008,3,858,126,66
127500,50,6240,6,6,1931,1950,0,425,459,884,959,408,1367,0,1,0,3,6,1,1978,1,560,0,0
155000,70,2500,7,8,1915,2005,0,299,611,910,916,910,1826,1,1,1,4,7,1,1915,1,164,0,0
177500,20,11249,6,5,1995,1995,0,334,322,1200,1200,0,1200,1,2,0,3,6,0,1995,2,521,0,26
128500,50,12358,5,6,1941,1950,0,360,360,720,854,0,1382,0,1,1,2,7,0,1991,2,660,237,0
176000,60,8029,6,5,2005,2005,0,0,728,728,728,728,1456,0,2,1,3,8,0,2005,2,400,100,24
402000,60,46589,8,7,1994,2005,528,1361,88,1629,1686,762,2448,1,2,1,4,8,1,1994,3,711,517,76
130000,70,8525,5,6,1911,1950,0,0,940,940,1024,940,1964,0,1,1,4,7,0,1980,0,0,0,192
145000,20,8250,6,7,1964,1964,260,787,305,1092,1092,0,1092,1,1,0,3,6,0,1964,2,504,0,0
147000,20,9600,5,7,1950,2007,0,607,506,1113,1113,0,1113,0,1,0,3,5,1,1950,1,264,0,80
115000,20,10500,4,5,1971,1971,0,432,432,864,864,0,864,0,1,0,3,5,1,1980,0,0,0,0
189000,60,7500,7,5,1999,1999,0,0,994,994,1028,776,1804,0,2,1,3,7,1,1999,2,442,140,60
143000,90,25000,5,4,1967,1967,0,0,1632,1632,1632,0,1632,0,2,0,4,8,0,1967,2,576,0,0
240000,60,10800,6,7,1974,1997,0,956,384,1522,1548,1066,2614,0,2,1,4,9,1,1974,2,624,38,243
230000,120,5001,7,5,2007,2008,166,904,410,1314,1314,0,1314,1,2,0,2,6,1,2008,2,626,172,62
190000,60,10186,7,5,1992,1992,0,674,76,750,1061,862,1923,1,2,1,3,8,1,1992,2,564,240,39
213000,20,8400,7,5,2004,2005,109,712,761,1473,1484,0,1484,1,2,0,3,7,0,2004,2,606,0,35
82500,30,5330,4,7,1940,1950,0,280,140,420,708,0,708,0,1,0,2,5,0,1980,0,0,164,0
274900,20,9591,8,5,2004,2005,262,1088,625,1713,1713,0,1713,1,2,0,3,7,1,2004,3,856,0,26
155000,20,7931,5,6,1960,1960,0,374,363,1269,1269,0,1269,0,1,1,3,6,1,1964,1,308,0,0
423000,20,20896,8,5,2005,2006,0,1721,356,2077,2097,0,2097,1,1,1,1,8,1,2005,3,1134,192,267
128500,20,9560,5,7,1972,1972,0,360,504,864,864,0,864,0,1,0,3,5,0,1972,1,288,0,0
335000,60,11308,9,5,2008,2008,154,936,168,1104,1130,1054,2184,1,2,1,3,10,1,2008,3,836,0,102
262000,20,12461,8,5,1994,1995,0,1456,168,1624,1624,0,1624,1,2,0,2,5,1,1994,3,757,0,114
129500,20,11200,5,5,1965,1965,0,906,134,1040,1040,0,1040,1,1,0,3,5,0,1965,1,384,0,0
222500,60,9505,7,5,2001,2001,180,0,884,884,884,1151,2035,0,2,1,3,8,1,2001,2,434,144,48
270000,120,9549,8,5,1995,1996,0,437,0,1494,1494,0,1494,1,1,1,2,6,1,1995,2,481,0,30
207500,120,5063,7,5,2007,2008,166,904,410,1314,1314,0,1314,1,2,0,2,6,1,2008,2,626,172,62
175000,60,11700,6,6,1968,1968,365,384,143,702,1041,702,1743,0,1,2,3,7,1,1968,2,539,224,0
238000,60,13125,7,5,1991,1991,0,48,422,1104,912,1215,2127,1,2,1,4,8,1,1991,3,833,72,192
135900,190,5687,5,6,1912,2000,0,210,570,780,936,780,1716,1,2,0,6,9,0,1980,0,0,0,184
224000,120,6371,7,5,2009,2010,128,733,625,1358,1358,0,1358,1,2,0,2,6,1,2010,2,484,192,35
170000,80,9967,7,5,2000,2000,0,0,384,384,774,656,1430,0,2,1,3,8,1,2000,2,400,100,0
185000,20,7500,7,5,2004,2005,0,410,811,1221,1221,0,1221,1,2,0,2,6,0,2004,2,400,0,113
263000,60,9375,7,5,2003,2004,0,0,912,912,912,1182,2094,0,2,1,4,8,1,2003,2,615,182,182
62383,20,8281,5,5,1965,1965,0,553,0,864,864,0,864,0,1,0,3,5,1,1965,1,360,0,0
150000,20,8973,5,7,1958,1991,85,567,413,1008,1053,0,1053,0,1,1,3,6,0,1998,2,750,0,80
171000,85,16647,5,5,1975,1981,0,1390,0,1390,1701,0,1701,1,2,0,3,6,2,1975,2,611,0,0
139000,20,8176,5,6,1958,1992,0,846,210,1056,1056,0,1056,1,1,0,3,6,0,1958,1,308,0,0
126175,20,5820,3,8,1955,2005,0,256,906,1162,1163,0,1163,1,1,0,3,6,0,1955,1,220,142,98
205950,60,8125,7,6,2007,2007,0,0,813,813,822,843,1665,0,2,1,3,7,0,2007,2,562,0,0
110000,50,12354,6,8,1920,2000,0,0,684,684,684,512,1196,0,1,0,3,7,0,2005,2,528,0,46
485000,60,13518,9,5,2008,2009,860,0,1926,1926,1966,1174,3140,0,3,1,4,11,2,2009,3,820,144,78
174000,20,10400,7,6,1970,1970,288,0,1304,1304,1682,0,1682,0,2,0,3,7,1,1970,2,530,98,0
145000,180,3675,5,5,2005,2005,80,547,0,547,1072,0,1072,1,1,0,2,5,0,2005,2,525,0,28
215200,60,8640,7,5,2009,2009,0,24,732,756,764,783,1547,0,2,1,3,7,0,2009,2,614,169,45
320000,20,11670,9,5,2006,2006,302,0,1905,1905,1905,0,1905,0,2,0,3,8,1,2006,3,788,0,191
212000,60,10667,7,6,1996,1996,0,385,70,799,827,834,1661,1,2,1,3,6,1,1996,2,550,158,61
168500,80,9020,6,5,1964,1964,259,624,288,1248,1350,0,1350,1,1,1,3,6,0,1964,2,520,176,0
189000,60,11218,6,5,1992,1992,0,0,1055,1055,1055,790,1845,0,2,1,3,8,1,1992,2,462,635,104
140000,80,13825,5,6,1958,1987,0,0,533,533,1021,580,1601,0,1,0,3,6,0,1958,1,300,280,34
187500,60,13031,6,5,1995,1996,0,592,99,691,691,807,1498,0,2,1,3,6,1,1995,2,409,315,44
254900,60,12552,7,5,2004,2005,0,222,769,991,991,956,1947,0,2,1,3,8,1,2004,2,678,0,136
135000,20,7390,5,7,1955,1955,151,902,196,1098,1098,0,1098,1,1,0,3,6,0,1955,1,260,0,0
151000,20,9750,6,8,1969,1969,0,602,14,1054,1054,0,1054,1,1,1,3,6,0,1969,2,460,180,0
112500,20,6000,5,6,1957,1957,0,308,620,928,928,0,928,0,1,0,3,5,0,1957,1,288,0,0
184000,50,9120,7,6,1925,1950,0,329,697,1026,1133,687,1820,1,2,0,4,8,0,1925,1,240,0,100
197000,75,15863,7,3,1920,1970,0,523,301,824,1687,998,3082,1,2,1,5,12,2,1970,2,672,136,63
161500,50,11250,4,5,1957,1989,0,0,1104,1104,1104,684,1788,1,1,0,5,8,2,1957,1,304,120,0
85000,30,7200,5,4,1910,2006,0,247,310,1022,1022,0,1022,1,1,0,2,4,0,1956,1,280,0,30
203000,20,8814,7,5,2005,2007,80,925,349,1274,1274,0,1274,1,2,0,3,6,0,2005,2,508,264,98
325000,60,11198,9,5,2005,2007,245,0,1122,1122,1134,1370,2504,0,2,1,4,11,1,2005,3,656,144,39
313000,60,11050,9,5,2000,2000,204,904,536,1440,1476,677,2153,1,2,1,3,8,2,2000,3,736,253,142
237000,60,9473,8,5,2002,2002,0,804,324,1128,1128,903,2031,1,2,1,3,7,1,2002,2,577,0,211
180500,70,13515,6,6,1919,1950,0,0,764,764,1060,764,1824,0,1,0,3,8,1,1940,2,520,0,0
137000,20,11425,5,6,1954,1954,0,486,522,1008,1008,0,1008,0,1,0,2,4,1,1954,1,275,0,0
90350,30,4280,5,6,1913,2002,0,365,75,440,694,0,694,0,1,0,2,4,1,1990,1,352,0,0
150900,90,12640,6,5,1976,1976,0,936,396,1728,1728,0,1728,0,2,0,4,8,0,1976,2,574,40,0
214000,20,10264,7,5,1999,1999,183,1162,426,1588,1588,0,1588,0,2,0,3,6,0,1999,2,472,158,29
121500,20,11341,5,6,1957,1996,180,1302,90,1392,1392,0,1392,1,1,1,3,5,1,1957,2,528,0,0
745000,60,15623,10,5,1996,1996,0,2096,300,2396,2411,2065,4476,1,3,1,4,10,2,1996,3,813,171,78
190000,60,11952,7,6,1977,1977,0,0,808,808,1161,808,1969,0,2,1,3,8,1,1977,2,534,0,0
181000,120,3182,7,5,2005,2006,16,16,1330,1346,1504,0,1504,0,2,0,1,7,1,2005,2,457,156,0
60000,20,9571,5,3,1958,1958,0,0,1276,1276,1276,0,1276,0,1,0,3,5,0,1958,1,350,0,0
239000,20,11923,9,5,2007,2007,0,0,1800,1800,1800,0,1800,0,2,0,2,7,0,2007,2,702,288,136
118500,90,11841,6,5,1990,1990,104,816,0,816,816,0,816,1,1,0,3,5,0,1980,0,0,0,32
109500,20,7200,5,7,1950,1950,0,0,0,0,1040,0,1040,0,1,0,2,5,0,1950,2,625,0,0
110000,20,7990,5,6,1975,1975,0,0,924,924,924,0,924,0,1,0,3,5,0,1981,1,280,0,0
105500,45,7227,6,6,1954,1954,0,0,832,832,832,0,832,0,1,0,2,4,0,1962,2,528,0,0
199900,60,11214,7,5,1998,1999,0,0,930,930,956,930,1886,0,2,1,4,10,1,1998,2,431,89,0
271900,20,14684,7,7,1990,1991,234,485,1496,2158,2196,0,2196,0,2,0,3,7,1,1990,3,701,84,70
131500,190,11625,5,4,1965,1965,0,841,198,1039,1039,0,1039,1,1,1,3,6,0,1965,2,504,0,0
135000,50,21286,5,5,1948,1950,0,0,720,720,720,551,1271,0,2,0,4,7,1,1948,1,312,0,0
119000,50,8405,5,8,1900,1950,0,241,229,861,961,406,1367,1,1,0,4,7,0,1978,1,384,0,130
215000,60,20544,7,6,1986,1991,123,0,791,791,1236,857,2093,0,2,1,3,7,1,1986,2,542,364,63
133500,20,15523,5,6,1972,1972,0,460,404,864,864,0,864,1,1,0,3,5,1,1972,1,338,0,0
169000,50,9638,6,7,1919,1990,0,0,804,804,1699,748,2447,0,2,0,4,10,1,1969,1,336,272,0
137500,85,8800,6,7,1963,1963,156,763,173,936,1054,0,1054,1,1,0,3,6,0,1963,2,480,120,0
147000,20,8402,5,5,2007,2007,0,206,914,1120,1120,0,1120,0,1,0,3,6,0,1980,0,0,0,30
232000,20,8688,7,5,2005,2005,228,0,1616,1616,1616,0,1616,0,2,0,3,7,0,2005,3,834,208,59
156000,20,10289,5,7,1965,1965,168,836,237,1073,1073,0,1073,1,1,1,3,6,0,1965,2,515,0,0
170000,20,10010,5,5,1974,1975,0,1071,195,1389,1389,0,1389,1,1,0,2,6,1,1975,2,418,240,38
82500,30,12342,4,5,1940,1950,0,262,599,861,861,0,861,0,1,0,1,4,0,1961,2,539,158,0
155000,70,7200,7,9,1936,2007,0,350,0,560,575,560,1135,1,1,0,3,6,0,1971,2,576,256,0
424870,60,9965,8,5,2006,2007,340,1150,316,1466,1466,1362,2828,1,3,0,4,11,1,2006,3,1052,125,144
236500,120,5389,8,5,1995,1996,0,1180,415,1595,1616,0,1616,1,2,0,2,5,1,1995,2,608,237,152
218000,20,10768,5,8,1976,2004,0,1157,280,1437,1437,0,1437,1,2,0,3,6,1,1976,2,528,0,21
213000,20,9750,7,5,2000,2001,171,0,1630,1630,1630,0,1630,0,2,0,3,6,1,2000,2,451,74,234
312500,20,14331,8,5,2002,2002,630,1274,526,1800,1800,0,1800,1,2,0,3,7,1,2002,3,765,270,78
187000,80,9600,6,7,1976,1994,360,0,528,528,1094,761,1855,0,2,1,3,7,1,1976,2,512,113,100
181000,60,24682,6,5,1999,1999,0,0,841,841,892,783,1675,0,2,1,3,7,1,1999,2,502,0,103
233000,60,10142,7,5,2004,2004,0,656,300,956,956,1128,2084,1,2,1,4,8,0,2004,2,618,0,45
95000,50,9084,5,6,1941,1950,0,236,0,616,616,495,1111,0,1,0,3,5,0,1941,1,200,48,0
52000,30,4130,3,6,1935,2003,0,0,270,270,729,0,729,0,1,0,2,5,0,1980,0,0,0,0
181000,20,17043,6,5,1979,1998,0,0,1362,1362,1586,0,1586,0,2,0,3,7,1,1979,2,435,192,0
501837,20,17423,9,5,2008,2009,748,1904,312,2216,2234,0,2234,1,2,0,1,9,1,2009,3,1166,0,60
88000,20,8125,4,4,1971,1971,0,614,244,858,858,0,858,0,1,0,3,5,0,1980,0,0,0,0
112000,20,8780,5,5,1985,1985,0,625,208,833,833,0,833,1,1,0,3,5,0,1980,0,0,0,0
140000,20,7763,5,7,1962,1980,0,504,319,931,1283,0,1283,1,1,0,3,6,0,1980,2,506,0,0
167000,20,9600,6,5,1953,1953,238,1285,131,1416,1644,0,1644,1,1,0,3,7,2,1953,2,418,110,0
145250,20,11600,6,5,1960,1960,175,565,818,1383,1383,0,1383,0,1,1,3,7,0,1960,1,292,0,45
210000,20,13175,6,6,1978,1988,119,790,589,1542,2073,0,2073,1,2,0,3,7,2,1978,2,500,349,0
157500,70,10440,5,8,1904,2002,0,0,650,650,958,581,1539,0,2,0,3,8,1,1983,2,686,70,78
212900,20,10084,7,5,2005,2006,196,24,1528,1552,1552,0,1552,0,2,0,3,7,0,2005,3,782,144,20
117500,20,9100,5,6,1965,1965,0,338,121,925,925,0,925,0,1,0,2,5,0,1965,1,429,0,0
185500,20,8773,7,5,2004,2004,98,24,1390,1414,1414,0,1414,0,2,0,3,6,0,2004,2,494,132,105
85000,50,8470,3,2,1915,1982,0,0,1013,1013,1013,0,1526,0,1,0,2,6,0,1980,0,0,0,0
145000,90,8393,5,5,1959,2005,122,528,1098,1626,1712,0,1712,0,2,0,4,8,0,2005,2,588,272,54
255500,20,11146,8,5,2006,2006,250,0,1709,1709,1717,0,1717,0,2,0,3,7,1,2006,3,908,169,39
124000,70,9000,5,6,1880,1991,0,0,636,636,1089,661,1750,0,1,0,3,8,0,1937,1,240,0,0
134900,50,6000,6,9,1937,2000,0,0,698,698,786,390,1176,0,1,0,2,4,0,1999,2,624,210,0
230500,60,11194,8,5,2000,2000,40,0,1406,1406,1454,482,1936,0,2,1,3,7,1,2000,2,504,188,124
110000,20,7340,4,6,1971,1971,0,322,536,858,858,0,858,0,1,0,2,4,0,1979,1,684,0,0
233230,60,15611,8,5,2006,2006,0,0,1079,1079,1079,840,1919,0,2,1,3,8,1,2006,2,685,0,51
157000,70,7200,7,7,1920,1950,0,0,596,596,998,764,1762,1,1,1,4,8,0,1989,2,576,36,0
142600,90,13101,5,5,1965,1965,108,231,1497,1728,1728,0,1728,0,2,0,6,10,0,1987,2,576,0,0
154000,160,2448,7,5,2003,2004,106,573,191,764,764,862,1626,1,2,1,2,6,0,2003,2,474,0,27
179665,60,17104,7,5,2006,2006,0,554,100,654,664,832,1496,1,2,1,3,7,1,2006,2,426,100,24
91000,30,6292,6,5,1930,1950,0,384,384,768,790,0,790,0,1,0,2,4,0,1925,1,160,0,141
197900,60,12384,7,7,1976,1976,233,0,793,793,1142,793,1935,0,2,1,3,7,1,1976,2,550,0,113
205000,60,10480,7,6,1976,1976,660,403,400,803,1098,866,1964,0,2,1,4,8,1,1976,2,483,0,69
161000,70,5100,8,7,1925,1996,0,0,588,588,833,833,1666,0,1,0,3,7,1,1925,1,228,192,63
149900,80,8385,5,8,1977,1977,220,595,390,985,985,0,985,0,2,0,3,6,0,1977,1,328,210,0
207000,120,8198,7,5,2004,2004,146,720,638,1358,1358,0,1358,1,2,0,2,6,1,2004,2,484,192,30
